id,industry,role_type,keywords,weight,created_at
,Construction,Estimator,"[""Estimating"",""Quantity Takeoff"",""Cost Analysis"",""Bid Preparation"",""Blueprint Reading"",""RSMeans""]",critical,
,Retail/Hospitality,Operations Manager (Retail),"[""E-Commerce Fulfillment"",""BOPIS"",""Omnichannel"",""Returns Processing""]",medium,
,Consulting,Strategy Consultant,"[""Financial Modeling"",""Market Sizing"",""Industry Analysis"",""Value Chain Analysis"",""Scenario Planning""]",high,
,Non-Profit,Volunteer Coordinator,"[""Volunteer Management"",""Recruitment"",""Training"",""Scheduling"",""Retention"",""Recognition""]",critical,
,Defense/Aerospace,Flight Test Engineer,"[""MIL-STD"",""Test Reports"",""Airworthiness"",""Configuration Control"",""Range Operations""]",medium,
,Healthcare,Pharmacist,"[""Medication Dispensing"",""Drug Interactions"",""Pharmacology"",""Compounding"",""Patient Counseling"",""Prescription Verification""]",critical,
,Education,School Administrator,"[""School Improvement Plan"",""Accreditation"",""Title I"",""IDEA"",""FERPA"",""Compliance""]",high,
,Logistics/Supply Chain,Fleet Manager,"[""Budget Management"",""Lifecycle Analysis"",""Vehicle Acquisition"",""Disposal""]",medium,
,Retail/Hospitality,Store Manager,"[""Community Events"",""Local Marketing"",""Facility Maintenance"",""Compliance""]",low,
,Technology,UI/UX Designer,"[""Stakeholder Presentations"",""A/B Testing"",""Analytics"",""Competitive Analysis""]",low,
,Logistics/Supply Chain,Supply Chain Analyst,"[""Presentation Skills"",""Report Writing"",""Cross-functional Communication"",""Process Documentation""]",low,
,Logistics/Supply Chain,Fleet Manager,"[""GPS Tracking"",""Telematics"",""Fleet Management Software"",""CDL"",""FMCSA"",""HOS""]",high,
,Cybersecurity,Cloud Security Engineer,"[""Cloud Security"",""AWS Security"",""Azure Security"",""GCP Security"",""IAM"",""CSPM"",""CWPP"",""Container Security"",""Terraform"",""Security Groups"",""WAF"",""CloudTrail"",""GuardDuty"",""Encryption"",""Compliance""]",critical,
,Telecommunications,Field Technician,"[""Tower Climbing"",""Antenna Installation"",""Microwave"",""Cable Termination"",""Testing""]",high,
,Consulting,HR Consultant,"[""Organizational Development"",""Talent Management"",""Compensation"",""Benefits"",""HRIS"",""Workday"",""ADP"",""Performance Management"",""Employee Relations"",""Succession Planning"",""Workforce Planning"",""Diversity"",""Compliance"",""Culture"",""Engagement""]",critical,
,Logistics/Supply Chain,Logistics Manager,"[""SAP"",""Oracle"",""WMS"",""TMS"",""ERP"",""Forecasting"",""Demand Planning""]",high,
,Consulting,Management Consultant,"[""Strategy"",""Business Analysis"",""Stakeholder Management"",""Data Analysis"",""Presentation"",""Change Management"",""Process Improvement"",""Client Engagement"",""Problem Solving"",""Excel"",""PowerPoint"",""Project Management"",""Workshops"",""Benchmarking"",""Best Practices""]",critical,
,Construction,Site Superintendent,"[""Site Management"",""Safety"",""OSHA"",""Quality Control"",""Scheduling"",""Subcontractor Coordination"",""Blueprint Reading"",""Inspection"",""Daily Reports"",""Punch List"",""Equipment Management"",""Weather Delays"",""Material Coordination"",""Building Codes"",""ADA""]",critical,
,Manufacturing,Maintenance Technician,"[""Welding"",""Machining"",""Blueprints"",""Schematics"",""Motor Controls"",""VFD""]",medium,
,Technology,IT Support Specialist,"[""Help Desk"",""Ticketing"",""Active Directory"",""Windows"",""Office 365"",""Troubleshooting"",""Networking"",""Hardware"",""Software"",""Remote Support"",""Deployment"",""Onboarding"",""SLA"",""Customer Service"",""Documentation""]",critical,
,Cybersecurity,SOC Analyst,"[""SIEM"",""Splunk"",""Incident Response"",""Threat Detection"",""Log Analysis"",""Network Security"",""Malware Analysis"",""Phishing"",""MITRE ATT&CK"",""Endpoint Detection"",""Firewall"",""Wireshark"",""Vulnerability Scanning"",""Ticketing Systems"",""Playbooks""]",critical,
,Technology,Product Manager,"[""Agile"",""Scrum"",""Roadmap"",""Stakeholder Management"",""User Stories"",""JIRA"",""Product Strategy"",""A/B Testing"",""Analytics"",""KPIs""]",high,
,Consulting,HR Consultant,"[""Workforce Planning"",""Performance Management"",""Leadership Development"",""Succession Planning"",""Employee Engagement""]",high,
,Technology,DevOps Engineer,"[""CloudFormation"",""Helm"",""ArgoCD"",""GitOps"",""Vault"",""Consul"",""Packer"",""Vagrant""]",high,
,Healthcare,Occupational Therapist,"[""Occupational Therapy"",""Functional Assessment"",""Treatment Planning"",""ADL Training"",""Adaptive Equipment"",""Hand Therapy""]",critical,
,Defense,Subcontracts Manager,"[""Subcontract Management"",""FAR"",""DFARS"",""Negotiation"",""Source Selection"",""Make-or-Buy"",""SOW"",""CPFF"",""FFP"",""T&M"",""Compliance"",""Small Business"",""Proposal Evaluation"",""Flowdown"",""Administration""]",important,
,Technology,DevOps Engineer,"[""Cost Optimization"",""Disaster Recovery"",""Incident Management"",""On-call"",""Runbooks""]",low,
,Technology,Data Scientist,"[""PyTorch"",""Keras"",""Jupyter"",""Feature Engineering"",""A/B Testing"",""Hypothesis Testing"",""Regression Analysis""]",high,
,Manufacturing,Quality Engineer,"[""Quality Management"",""ISO 9001"",""Statistical Process Control"",""Root Cause Analysis"",""CAPA"",""FMEA"",""Audit"",""Inspection"",""GMP"",""Quality Systems"",""Metrology"",""Documentation"",""Continuous Improvement"",""Six Sigma"",""Control Plans""]",critical,
,Logistics/Supply Chain,Inventory Control Specialist,"[""WMS"",""ERP"",""SAP"",""Barcode Systems"",""RFID"",""Physical Inventory""]",high,
,Defense,Cybersecurity Analyst,"[""RMF"",""NIST 800-53"",""STIG"",""ACAS"",""eMASS"",""ATO"",""Vulnerability Management"",""POA&M"",""Security Controls"",""Compliance"",""DoD 8570"",""Incident Response"",""System Security Plan"",""Continuous Monitoring"",""Audit""]",important,
,Aviation,Air Traffic Controller,"[""Air Traffic Control"",""Radar"",""Communication"",""Weather"",""IFR"",""VFR"",""Separation"",""Clearance"",""Coordination"",""Emergency Procedures"",""NOTAM"",""Airspace"",""Safety"",""Decision Making"",""Stress Management""]",critical,
,Defense/Aerospace,Avionics Engineer,"[""Integration Testing"",""Certification"",""FAA"",""Airworthiness"",""Configuration Management""]",medium,
,Technology,Full Stack Developer,"[""Next.js"",""Tailwind CSS"",""Redux"",""Webpack"",""Vite"",""Authentication"",""Authorization""]",high,
,Technology,DevOps Engineer,"[""Shell Scripting"",""Python"",""Go"",""Nginx"",""HAProxy"",""ELK Stack"",""Datadog"",""New Relic""]",medium,
,Manufacturing,Production Manager,"[""Lean Manufacturing"",""Six Sigma"",""Production Planning"",""Quality Management"",""OEE"",""Continuous Improvement"",""Safety"",""OSHA"",""KPIs"",""Scheduling"",""Capacity Planning"",""Root Cause Analysis"",""SPC"",""5S"",""Kaizen""]",critical,
,Finance/Banking,Financial Planner,"[""CRM"",""Financial Planning Software"",""MoneyGuidePro"",""eMoney"",""Compliance""]",medium,
,Education,Instructional Designer,"[""Instructional Design"",""ADDIE"",""SAM"",""Learning Objectives"",""Storyboarding"",""E-Learning""]",critical,
,Manufacturing,Process Engineer,"[""Process Improvement"",""Lean"",""Six Sigma"",""Statistical Analysis"",""SPC"",""DOE"",""Automation"",""PLC"",""Root Cause Analysis"",""Capacity Planning"",""Process Mapping"",""Value Stream"",""Standard Work"",""Yield Improvement"",""Cost Reduction""]",critical,
,Education,Instructional Designer,"[""Graphic Design"",""Video Editing"",""Accessibility"",""Section 508"",""UX Design""]",medium,
,Defense/Aerospace,Avionics Engineer,"[""Technical Documentation"",""Requirements Traceability"",""Peer Review"",""Code Review""]",low,
,Logistics/Supply Chain,Transportation Manager,"[""Transportation Management"",""Freight"",""Carrier Management"",""Route Planning"",""TMS"",""Shipping""]",critical,
,Finance/Banking,Treasury,"[""Board Reporting"",""Policy Development"",""Vendor Evaluation"",""Process Automation""]",low,
,Technology,Data Engineer,"[""Documentation"",""Stakeholder Communication"",""Cost Optimization"",""Performance Tuning""]",low,
,Technology,DevOps Engineer,"[""Terraform"",""Ansible"",""Jenkins"",""AWS"",""Azure"",""GCP"",""Docker"",""Kubernetes"",""Linux"",""CI/CD"",""Infrastructure as Code"",""Monitoring"",""Prometheus"",""Grafana""]",critical,
,Telecommunications,RF Engineer,"[""Interference Mitigation"",""Capacity Planning"",""KPI Analysis"",""Cluster Optimization""]",medium,
,Finance/Banking,Treasury,"[""Debt Management"",""Investment Portfolio"",""Credit Facilities"",""Covenant Compliance""]",medium,
,Construction,Estimator,"[""Cost Estimating"",""Takeoff"",""Bidding"",""Blueprints"",""Specifications"",""Subcontractor Pricing"",""Material Costs"",""Labor Rates"",""Overhead"",""Profit Margin"",""Value Engineering"",""Change Orders"",""Scheduling"",""RSMeans"",""Bluebeam""]",important,
,Technology,Database Administrator,"[""Capacity Planning"",""Security Hardening"",""Compliance"",""Disaster Recovery Planning""]",low,
,Technology,Systems Administrator,"[""Network Configuration"",""Firewall Management"",""DNS"",""DHCP"",""LDAP"",""SSL/TLS""]",critical,
,Manufacturing,Additive Manufacturing Specialist,"[""3D Printing"",""Additive Manufacturing"",""CAD"",""SLA"",""SLS"",""FDM"",""DMLS"",""Material Science"",""Post-Processing"",""Quality"",""Prototyping"",""Design for AM"",""Inspection"",""Cost Analysis"",""Production""]",important,
,Finance/Banking,Accountant,"[""QuickBooks"",""SAP"",""Oracle"",""NetSuite"",""Month-End Close"",""Year-End Close"",""CPA""]",high,
,Logistics/Supply Chain,Logistics Manager,"[""Vendor Negotiation"",""Contract Management"",""Regulatory Compliance"",""Sustainability""]",low,
,Finance/Banking,Investment Banker,"[""Client Relationship Management"",""Industry Analysis"",""Comparable Analysis"",""Precedent Transactions""]",medium,
,Technology,Database Administrator,"[""SQL"",""PostgreSQL"",""MySQL"",""Oracle"",""SQL Server"",""Performance Tuning"",""Backup"",""Recovery"",""Replication"",""High Availability"",""Schema Design"",""Indexing"",""Query Optimization"",""Monitoring"",""Security""]",critical,
,Government/Federal,IT Specialist (GS),"[""Section 508 Compliance"",""Help Desk"",""Training"",""Documentation"",""Change Management""]",low,
,Technology,Technical Writer,"[""Documentation"",""API Documentation"",""Markdown"",""DITA"",""Content Management"",""Style Guides"",""Technical Communication""]",low,
,Logistics/Supply Chain,APICS/CSCP Professional,"[""APICS"",""CSCP"",""CPIM"",""Supply Chain Strategy"",""Operations Management"",""Materials Management""]",critical,
,Manufacturing,Maintenance Technician,"[""Preventive Maintenance"",""Troubleshooting"",""Electrical"",""Mechanical"",""PLC"",""Hydraulics"",""Pneumatics""]",critical,
,Defense/Aerospace,Systems Engineer,"[""ITAR"",""Security Clearance"",""MIL-STD"",""DO-178"",""DO-254"",""AS9100""]",medium,
,Energy/Utilities,Renewable Energy Specialist,"[""Policy Analysis"",""Market Analysis"",""Financial Modeling"",""Grant Applications""]",low,
,Education,Special Education Teacher,"[""Applied Behavior Analysis"",""Progress Monitoring"",""Assistive Technology"",""Transition Planning"",""Functional Behavior Assessment""]",high,
,Healthcare,Clinical Research Coordinator,"[""Clinical Trials"",""GCP"",""IRB"",""FDA"",""Protocol"",""Informed Consent"",""Data Collection"",""CRF"",""Adverse Events"",""Site Management"",""Enrollment"",""Regulatory"",""CTMS"",""Source Documentation"",""Monitoring""]",important,
,Construction,Superintendent,"[""Concrete"",""Steel"",""MEP Coordination"",""Commissioning"",""Closeout""]",medium,
,Retail/Hospitality,Store Manager,"[""POS Systems"",""Staff Management"",""Scheduling"",""Training"",""Loss Prevention"",""Shrinkage""]",high,
,Logistics/Supply Chain,Logistics Manager,"[""KPI Management"",""Cost Reduction"",""Process Improvement"",""Lean"",""Six Sigma""]",medium,
,Consulting,Operations Consultant,"[""Cost Reduction"",""Capacity Planning"",""Warehouse Optimization"",""Quality Management""]",medium,
,Construction,Heavy Equipment Operator,"[""GPS Grading"",""Site Preparation"",""Earthwork"",""Trenching"",""Compaction""]",high,
,Finance/Banking,Risk Analyst,"[""Risk Management"",""Quantitative Analysis"",""VaR"",""Stress Testing"",""Basel III"",""Credit Risk"",""Market Risk"",""Operational Risk""]",critical,
,Construction,HVAC Technician,"[""HVAC"",""Refrigeration"",""EPA 608"",""Troubleshooting"",""Installation"",""Maintenance"",""Electrical"",""Controls"",""Ductwork"",""Compressor"",""Chiller"",""Boiler"",""Split System"",""Commercial"",""Residential""]",critical,
,Logistics/Supply Chain,Customs Broker,"[""Licensed Customs Broker"",""ACE"",""ISF"",""Free Trade Agreements"",""Duty Drawback""]",high,
,Aviation,Avionics Technician,"[""Avionics"",""Electrical"",""Wiring"",""Navigation"",""Communication"",""Radar"",""Autopilot"",""FMS"",""TCAS"",""Transponder"",""Troubleshooting"",""Testing"",""Soldering"",""Technical Manuals"",""FAA""]",critical,
,Energy/Utilities,Electrical Engineer,"[""Load Flow"",""Short Circuit"",""Relay Coordination"",""Arc Flash"",""Grounding""]",medium,
,Non-Profit,Fundraiser,"[""Prospect Research"",""Cultivation"",""Stewardship"",""Board Engagement"",""Volunteer Recruitment""]",medium,
,Finance,Payroll Specialist,"[""Payroll Processing"",""ADP"",""Workday"",""Tax Withholding"",""Benefits Deductions"",""FLSA"",""Multi-State Payroll"",""W-2"",""Garnishments"",""Time and Attendance"",""Audit"",""Compliance"",""Reconciliation"",""Direct Deposit"",""Year-End""]",critical,
,Technology,Mobile Developer,"[""SwiftUI"",""Jetpack Compose"",""Xcode"",""Android Studio"",""CocoaPods"",""Gradle""]",critical,
,Education,Special Education Teacher,"[""Collaboration"",""Co-Teaching"",""Due Process"",""Compliance"",""Documentation""]",medium,
,Human Resources,Recruiter,"[""Full-Cycle Recruiting"",""Sourcing"",""LinkedIn Recruiter"",""ATS"",""Screening"",""Interviewing"",""Offer Negotiation"",""Employer Branding"",""Diversity Recruiting"",""Candidate Experience"",""Job Posting"",""Boolean Search"",""Pipeline"",""Onboarding"",""Metrics""]",critical,
,Government/Federal,IT Specialist (GS),"[""Cloud.gov"",""AWS GovCloud"",""ITIL"",""ServiceNow"",""Active Directory"",""Networking""]",high,
,Technology,Information Security Manager,"[""Information Security"",""CISO"",""Security Strategy"",""Risk Management"",""Compliance"",""NIST"",""ISO 27001""]",critical,
,Non-Profit,Fundraiser,"[""CRM"",""Raiser's Edge"",""Salesforce"",""DonorPerfect"",""Event Planning"",""Direct Mail""]",high,
,Defense/Aerospace,Systems Engineer,"[""Systems Engineering"",""Requirements Analysis"",""DOORS"",""V&V"",""Interface Design"",""System Architecture"",""DoD""]",critical,
,Healthcare,Registered Nurse,"[""Epic"",""Cerner"",""Meditech"",""Nursing Documentation"",""Wound Care"",""Infection Control"",""Vital Signs""]",high,
,Technology,Full Stack Developer,"[""Agile"",""Scrum"",""Code Review"",""Technical Documentation"",""Mentoring""]",low,
,Healthcare,Medical Records,"[""Health Information Management"",""ICD-10 Coding"",""CPT Coding"",""Medical Terminology"",""HIPAA Compliance"",""Release of Information""]",critical,
,Defense/Aerospace,Systems Engineer,"[""MBSE"",""SysML"",""UML"",""Trade Studies"",""Risk Analysis"",""Configuration Management""]",high,
,Healthcare,Occupational Therapist,"[""Patient Assessment"",""Treatment Planning"",""Rehabilitation"",""Activities of Daily Living"",""Assistive Technology"",""Documentation"",""Goal Setting"",""Patient Education"",""Ergonomics"",""Hand Therapy"",""Cognitive Rehabilitation"",""Home Modification"",""Splinting"",""Group Therapy"",""Discharge Planning""]",critical,
,Education,Instructional Designer,"[""Project Management"",""SME Collaboration"",""Quality Assurance"",""Pilot Testing""]",low,
,Marketing/Communications,Content Creator,"[""Analytics"",""Engagement Metrics"",""Brand Voice"",""Storytelling"",""Interviewing""]",medium,
,Finance/Banking,Auditor,"[""SOX Compliance"",""IT Audit"",""Fraud Detection"",""Data Analytics"",""Workpaper Documentation""]",high,
,Technology,Cloud Architect,"[""Microservices"",""Containerization"",""Service Mesh"",""API Gateway"",""Load Balancing"",""Auto Scaling"",""CDN""]",critical,
,Healthcare,Healthcare Administrator,"[""Healthcare Management"",""Budget Management"",""Regulatory Compliance"",""Quality Improvement"",""Patient Safety"",""Strategic Planning"",""Joint Commission"",""CMS"",""Revenue Cycle"",""Staff Management"",""HIPAA"",""Policy Development"",""Performance Metrics"",""Accreditation"",""Risk Management""]",critical,
,Technology,Mobile Developer,"[""iOS"",""Android"",""Swift"",""Kotlin"",""React Native"",""Flutter"",""Mobile UI/UX"",""App Store"",""Firebase""]",high,
,Healthcare,EMT/Paramedic,"[""IV Access"",""Medication Administration"",""Intubation"",""Defibrillation"",""Splinting"",""Spinal Immobilization""]",high,
,Technology,Cybersecurity Analyst,"[""Malware Analysis"",""Threat Intelligence"",""NIST Framework"",""ISO 27001"",""Risk Assessment"",""Encryption"",""PKI""]",high,
,Technology,Data Analyst,"[""SQL"",""Excel"",""Python"",""Tableau"",""Power BI"",""Data Visualization"",""Statistical Analysis"",""ETL"",""Data Cleaning"",""Reporting"",""Dashboard"",""Business Intelligence"",""A/B Testing"",""Trend Analysis"",""Presentation""]",critical,
,Nonprofit,Impact Analyst,"[""Impact Measurement"",""Logic Model"",""Theory of Change"",""Data Collection"",""Survey"",""Evaluation"",""Reporting"",""Statistics"",""Dashboards"",""Outcomes"",""Indicators"",""Qualitative"",""Quantitative"",""Storytelling"",""Grant Compliance""]",important,
,Healthcare,Pharmacist,"[""Staff Supervision"",""Residency Training"",""Drug Utilization Review"",""P&T Committee""]",low,
,Energy/Utilities,Environmental Specialist,"[""Environmental Compliance"",""EPA"",""NEPA"",""Clean Air Act"",""Clean Water Act"",""RCRA"",""Permitting""]",critical,
,Technology,Security Engineer,"[""SIEM"",""Penetration Testing"",""Vulnerability Assessment"",""Incident Response"",""NIST"",""SOC"",""Firewall"",""IDS/IPS"",""Cloud Security"",""Zero Trust"",""Compliance"",""Risk Assessment"",""Threat Modeling"",""Security Architecture"",""Encryption""]",critical,
,Non-Profit,Case Manager,"[""Supervision"",""Training"",""Program Development"",""Quality Improvement""]",low,
,Education,Online Learning Developer,"[""E-Learning"",""Articulate"",""Rise"",""Storyline"",""LMS"",""SCORM"",""xAPI"",""Video Production"",""Captivate"",""Accessibility"",""Instructional Design"",""Assessment"",""Multimedia"",""HTML5"",""Graphic Design""]",critical,
,Government/Federal,Procurement Specialist,"[""SAM.gov"",""GSA Schedule"",""GWAC"",""BPA"",""Vendor Management"",""Cost Analysis""]",high,
,Logistics/Supply Chain,Procurement Specialist,"[""Procurement"",""Sourcing"",""Vendor Management"",""RFP"",""RFQ"",""Contract Negotiation"",""Spend Analysis""]",critical,
,Healthcare,Medical Records,"[""Data Integrity"",""Record Retention"",""Privacy"",""Consent Management"",""ROI Processing""]",medium,
,Construction,Civil Engineer,"[""Permitting"",""Environmental Compliance"",""SWPPP"",""Erosion Control"",""Specifications""]",medium,
,Retail,Store Manager,"[""Retail Management"",""P&L"",""Sales"",""Customer Service"",""Inventory"",""Visual Merchandising"",""Team Leadership"",""Loss Prevention"",""Scheduling"",""Training"",""KPIs"",""Planogram"",""Shrink"",""Upselling"",""POS""]",critical,
,Energy/Utilities,Pipeline Operator,"[""Emergency Response"",""Public Awareness"",""ROW Management"",""Environmental Compliance""]",medium,
,Manufacturing,Quality Engineer,"[""Minitab"",""Quality Management Systems"",""Supplier Quality"",""Customer Complaints""]",medium,
,Telecommunications,Network Engineer,"[""Cisco"",""Juniper"",""CCNA"",""CCNP"",""Routing"",""Switching"",""Firewall"",""VPN"",""SD-WAN"",""MPLS"",""BGP"",""OSPF"",""Network Design"",""Troubleshooting"",""Wireless""]",critical,
,Marketing/Communications,Marketing Manager,"[""Cross-functional Leadership"",""Agency Management"",""Event Marketing"",""Product Launches""]",medium,
,defense,systems_engineer,"[""Systems Engineering"",""Requirements Analysis"",""V&V"",""DoDAF"",""MBSE"",""SysML"",""Configuration Management"",""Integration Testing"",""ITAR"",""CMMI""]",critical,
,Technology,Cloud Architect,"[""Well-Architected Framework"",""Cloud Migration"",""Hybrid Cloud"",""Disaster Recovery"",""High Availability""]",medium,
,Construction,Site Supervisor,"[""Site Management"",""Daily Reports"",""Crew Supervision"",""Safety"",""Quality Control"",""Blueprint Reading""]",critical,
,Government/Federal,Budget Analyst,"[""Excel"",""SAP"",""Financial Systems"",""Forecasting"",""Trend Analysis"",""Variance Analysis""]",medium,
,Education,Academic Advisor,"[""Student Success"",""Academic Planning"",""Retention"",""Advising"",""Student Affairs"",""Enrollment"",""Degree Audit"",""Career Counseling"",""Program Evaluation"",""Student Records"",""FERPA"",""Mentoring"",""Transfer Credits"",""Graduation"",""Scheduling""]",important,
,Defense,AI/ML Specialist,"[""Artificial Intelligence"",""Machine Learning"",""Computer Vision"",""NLP"",""Data Analytics"",""Python"",""DoD AI Strategy"",""JAIC"",""Autonomous Systems"",""Sensor Fusion"",""Algorithm Development"",""Testing"",""Ethics"",""Responsible AI"",""Deployment""]",important,
,Telecommunications,Field Technician,"[""Installation"",""Troubleshooting"",""Fiber Optics"",""Cable"",""Splicing"",""OTDR"",""Testing"",""Customer Service"",""Safety"",""Climbing"",""Bucket Truck"",""OSP"",""ISP"",""Documentation"",""Work Orders""]",critical,
,Finance/Banking,Financial Analyst,"[""SQL"",""Python"",""Tableau"",""Power BI"",""Macros"",""VBA"",""Financial Analysis""]",medium,
,Technology,Software Engineer,"[""Spring Boot"",""GraphQL"",""Redis"",""MongoDB"",""PostgreSQL"",""Linux"",""Object-Oriented Programming"",""Design Patterns""]",high,
,Education,Instructional Designer,"[""Curriculum Development"",""LMS"",""ADDIE"",""Articulate"",""Storyline"",""E-Learning"",""Instructional Design"",""Assessment"",""Learning Objectives"",""Storyboarding"",""SCORM"",""Multimedia"",""Adult Learning"",""Bloom's Taxonomy"",""Evaluation""]",critical,
,Telecommunications,RF Engineer,"[""Site Selection"",""Regulatory Compliance"",""FCC"",""Environmental Review""]",low,
,Consulting,Operations Consultant,"[""Operations Management"",""Process Optimization"",""Lean"",""Six Sigma"",""Supply Chain"",""Manufacturing""]",critical,
,Technology,Site Reliability Engineer,"[""Prometheus"",""Grafana"",""PagerDuty"",""Terraform"",""Kubernetes"",""Docker"",""Linux""]",high,
,Education,School Administrator,"[""Community Relations"",""Parent Engagement"",""School Board"",""Strategic Planning""]",medium,
,Finance,Mortgage Loan Officer,"[""Mortgage Origination"",""Underwriting"",""FHA"",""VA"",""Conventional"",""Pre-Approval"",""Closing"",""LOS"",""DU"",""LP"",""TRID"",""RESPA"",""Credit Analysis"",""Rate Lock"",""Pipeline Management""]",critical,
,technology,data_analyst,"[""SQL"",""Python"",""Tableau"",""Power BI"",""Data Visualization"",""Statistical Analysis"",""ETL"",""Data Warehousing"",""Excel"",""R"",""Machine Learning"",""Business Intelligence""]",critical,
,Marketing/Communications,SEO Specialist,"[""SEO"",""Keyword Research"",""On-Page SEO"",""Off-Page SEO"",""Technical SEO"",""Link Building"",""Google Analytics""]",critical,
,Technology,IT Support,"[""CompTIA A+"",""CompTIA Network+"",""CCNA"",""Microsoft Certified"",""Hardware Repair""]",critical,
,Technology,Cybersecurity Analyst,"[""Splunk"",""Wireshark"",""Nessus"",""Burp Suite"",""Metasploit"",""OSINT"",""Digital Forensics""]",medium,
,Healthcare,Healthcare Administrator,"[""EHR Implementation"",""Policy Development"",""Risk Management"",""Performance Metrics"",""Lean Healthcare""]",medium,
,Retail/Hospitality,Customer Service Manager,"[""Escalation Management"",""Process Improvement"",""Knowledge Base"",""SLA Management""]",medium,
,Defense/Aerospace,Flight Test Engineer,"[""Pilot Briefings"",""Quick-Look Analysis"",""Anomaly Investigation"",""Technical Writing""]",low,
,Government/Federal,Human Resources (Federal),"[""USA Staffing"",""USAJobs"",""Delegated Examining"",""Merit Promotion"",""Veterans Preference""]",high,
,Government/Federal,Program Analyst,"[""Program Evaluation"",""Cost-Benefit Analysis"",""GPRA"",""Performance Improvement"",""Dashboards""]",medium,
,Technology,Cloud Architect,"[""Architecture Decision Records"",""Technical Leadership"",""Stakeholder Communication"",""Vendor Evaluation""]",low,
,Logistics/Supply Chain,APICS/CSCP Professional,"[""Demand Management"",""Master Scheduling"",""Capacity Planning"",""Production Planning""]",high,
,Transportation,Dispatch Manager,"[""Dispatch"",""Routing"",""Scheduling"",""TMS"",""Communication"",""GPS"",""Tracking"",""Customer Service"",""Problem Solving"",""Compliance"",""DOT"",""HOS"",""ELD"",""Fleet Management"",""Time Management""]",critical,
,Non-Profit,Grant Writer,"[""Data Analysis"",""Outcomes Measurement"",""Storytelling"",""Editing"",""Compliance""]",medium,
,Finance/Banking,Financial Planner,"[""Client Acquisition"",""Referral Networks"",""Seminar Presentations"",""Community Engagement""]",low,
,Nonprofit,Development Director,"[""Fundraising"",""Major Gifts"",""Annual Giving"",""Capital Campaign"",""Donor Relations"",""CRM"",""Salesforce"",""Grant Writing"",""Events"",""Planned Giving"",""Prospect Research"",""Stewardship"",""Board Development"",""Cultivation"",""Donor Retention""]",critical,
,Telecommunications,Network Engineer,"[""Documentation"",""Vendor Management"",""Change Management"",""ITIL""]",low,
,Government/Federal,Procurement Specialist,"[""Invoice Processing"",""Receipt and Acceptance"",""Property Management"",""Closeout""]",low,
,Energy,Electrical Engineer,"[""Power Systems"",""Electrical Design"",""PLC"",""SCADA"",""AutoCAD"",""NEC"",""Protection"",""Relay"",""Substation"",""Transformer"",""Distribution"",""Transmission"",""Single Line Diagram"",""Short Circuit Analysis"",""Arc Flash""]",critical,
,Healthcare,Pharmacy Technician,"[""Medication Dispensing"",""Prescription Processing"",""Inventory Management"",""Insurance Billing"",""Compounding"",""HIPAA"",""Patient Safety"",""Controlled Substances"",""NDC"",""Drug Interactions"",""Pharmacy Software"",""Quality Control"",""Labeling"",""Reconstitution"",""Customer Service""]",critical,
,Government,Contracting Officer,"[""Federal Contracting"",""FAR"",""DFARS"",""Source Selection"",""Contract Administration"",""Negotiation"",""Pricing"",""Competition"",""Small Business"",""GSA"",""IDIQ"",""BPA"",""Task Order"",""Modifications"",""Closeout""]",important,
,Healthcare,Clinical Research,"[""GCP"",""ICH Guidelines"",""IRB"",""Protocol Development"",""Informed Consent"",""Adverse Event Reporting"",""Data Collection""]",critical,
,Construction,HVAC Technician,"[""Troubleshooting"",""Controls"",""BMS"",""Ductwork"",""Piping"",""Load Calculations""]",high,
,Technology,Technical Writer,"[""Documentation"",""API Documentation"",""Knowledge Base"",""Markdown"",""Git"",""DITA"",""Content Strategy"",""Style Guide"",""User Guide"",""Release Notes"",""Confluence"",""Technical Communication"",""Information Architecture"",""Editing"",""Publishing""]",important,
,Logistics/Supply Chain,Inventory Control Specialist,"[""Inventory Management"",""Cycle Counting"",""ABC Analysis"",""Min/Max"",""Reorder Points"",""Safety Stock""]",critical,
,Energy/Utilities,Power Plant Operator,"[""Power Generation"",""Turbine Operations"",""Boiler Operations"",""Control Room"",""NERC Compliance"",""Grid Operations""]",critical,
,Manufacturing,Process Engineer,"[""CAD"",""AutoCAD"",""SolidWorks"",""Simulation"",""Process Flow"",""Work Instructions""]",high,
,Government/Federal,Intelligence Analyst,"[""Intelligence Analysis"",""All-Source Analysis"",""SIGINT"",""HUMINT"",""GEOINT"",""OSINT"",""TS/SCI"",""Security Clearance""]",critical,
,Finance/Banking,Wealth Manager,"[""Client Relationship Management"",""Regulatory Compliance"",""Fiduciary Duty"",""Succession Planning""]",medium,
,Finance,Risk Manager,"[""Risk Assessment"",""Enterprise Risk Management"",""Compliance"",""Internal Controls"",""Audit"",""SOX"",""Basel"",""Regulatory Reporting"",""Operational Risk"",""Market Risk"",""Credit Risk"",""Stress Testing"",""Governance"",""Policy"",""Framework""]",critical,
,Defense/Aerospace,Logistics Analyst,"[""Life Cycle Cost"",""Obsolescence Management"",""Configuration Management"",""DMSMS""]",medium,
,Defense/Aerospace,Avionics Engineer,"[""Embedded Systems"",""FPGA"",""VHDL"",""Verilog"",""Real-Time Systems"",""Safety-Critical""]",high,
